date,portfolio_value,market_state,position_ratio,holdings,peak,drawdown
20210726,8348.434041638977,bear,1.0,"000776.SZ,601390.SH,300677.SZ,000050.SZ,002202.SZ,601877.SH,600873.SH,000400.SZ,600330.SH,000060.SZ,600582.SH,601211.SH,600060.SH,600879.SH,600584.SH,600522.SH,600328.SH,002131.SZ,600075.SH,603589.SH",10235.044776040968,-18.432852768932914
20210813,8922.355138217212,neutral,1.0,"600063.SH,600330.SH,002382.SZ,600089.SH,600873.SH,601877.SH,600596.SH,601988.SH,600580.SH,002597.SZ,000776.SZ,600075.SH,601717.SH,000400.SZ,002926.SZ,600219.SH,600582.SH,002223.SZ,600185.SH,300212.SZ",10235.044776040968,-12.825441085481208
20210902,8505.456361637467,neutral,1.0,"601688.SH,600739.SH,601211.SH,000623.SZ,000776.SZ,600075.SH,601800.SH,601186.SH,601390.SH,600873.SH,600875.SH,002182.SZ,601668.SH,600157.SH,600104.SH,600063.SH,601877.SH,600352.SH,600089.SH,002202.SZ",10235.044776040968,-16.89868928030743
20210924,7796.174827491071,neutral,1.0,"600739.SH,601877.SH,002726.SZ,002202.SZ,601727.SH,002434.SZ,002602.SZ,600197.SH,600171.SH,300677.SZ,600073.SH,000488.SZ,000977.SZ,000591.SZ,600308.SH,000895.SZ,601211.SH,600064.SH,002131.SZ,002489.SZ",10235.044776040968,-23.828620215311652
20211021,7692.729075929451,neutral,1.0,"601688.SH,600075.SH,601328.SH,600308.SH,600027.SH,000960.SZ,601137.SH,600104.SH,000166.SZ,002004.SZ,600330.SH,600063.SH,600879.SH,600273.SH,600352.SH,600618.SH,600197.SH,601108.SH,002538.SZ,601088.SH",10235.044776040968,-24.839321720045408
20211110,7924.87689926995,neutral,1.0,"600522.SH,601137.SH,600879.SH,300203.SZ,603936.SH,601218.SH,002185.SZ,600335.SH,600487.SH,002004.SZ,300088.SZ,002635.SZ,000537.SZ,600745.SH,002106.SZ,002602.SZ,603766.SH,600063.SH,600584.SH,601881.SH",10235.044776040968,-22.571155547642043
20211130,7898.520804647338,neutral,1.0,"600522.SH,600271.SH,601688.SH,002236.SZ,600879.SH,600487.SH,002022.SZ,600273.SH,002185.SZ,600026.SH,300203.SZ,601515.SH,600580.SH,002152.SZ,600584.SH,002030.SZ,000997.SZ,600458.SH,600176.SH,000823.SZ",10235.044776040968,-22.828663894692056
20211220,8027.048890239669,neutral,1.0,"600522.SH,601668.SH,601318.SH,600566.SH,601328.SH,600742.SH,000049.SZ,601288.SH,603589.SH,600466.SH,000776.SZ,688298.SH,601390.SH,601881.SH,601186.SH,600155.SH,600332.SH,000531.SZ,601000.SH,601166.SH",10235.044776040968,-21.57289913347479
20220110,7540.931519174741,neutral,1.0,"000778.SZ,002157.SZ,601668.SH,002726.SZ,000719.SZ,002124.SZ,601233.SH,600060.SH,600273.SH,601169.SH,600873.SH,000961.SZ,002106.SZ,601390.SH,002567.SZ,688298.SH,600422.SH,300383.SZ,601211.SH,000555.SZ",10235.044776040968,-26.322437427658627
20220128,7564.470143080001,bear,1.0,"600522.SH,000651.SZ,600153.SH,002202.SZ,601311.SH,002131.SZ,601988.SH,601668.SH,000100.SZ,601186.SH,300677.SZ,601688.SH,600271.SH,000778.SZ,600015.SH,601288.SH,000555.SZ,002567.SZ,601211.SH,002926.SZ",10235.044776040968,-26.09245676396518
20220224,7059.96001960262,bear,1.0,"600522.SH,603858.SH,600879.SH,002092.SZ,601390.SH,600339.SH,600273.SH,601668.SH,600489.SH,300677.SZ,601688.SH,601877.SH,000778.SZ,601186.SH,600026.SH,600062.SH,002489.SZ,600153.SH,601211.SH,601952.SH",10235.044776040968,-31.02169874108266
20220316,7620.976254805019,bear,1.0,"002092.SZ,601688.SH,000651.SZ,601328.SH,600153.SH,000100.SZ,600582.SH,600104.SH,601800.SH,000157.SZ,002202.SZ,601211.SH,002131.SZ,300383.SZ,603077.SH,600522.SH,600271.SH,600061.SH,600739.SH,601169.SH",10235.044776040968,-25.540372108143334
20220407,6760.381825765956,neutral,1.0,"000671.SZ,002092.SZ,000683.SZ,601668.SH,600596.SH,600466.SH,600104.SH,600096.SH,601328.SH,601857.SH,601390.SH,601952.SH,600985.SH,600062.SH,600197.SH,600141.SH,601872.SH,600075.SH,002110.SZ,601800.SH",10235.044776040968,-33.948683433303465
20220427,7163.440174107127,bear,1.0,"000725.SZ,600089.SH,601186.SH,002092.SZ,000778.SZ,002202.SZ,000960.SZ,600584.SH,600667.SH,000581.SZ,000100.SZ,600104.SH,000683.SZ,002185.SZ,601615.SH,601717.SH,603077.SH,600875.SH,600582.SH,600820.SH",10235.044776040968,-30.01066110745412
20220520,7519.864915700218,bull,1.0,"600782.SH,000830.SZ,600028.SH,600197.SH,600328.SH,000776.SZ,600997.SH,601615.SH,601988.SH,601668.SH,000683.SZ,000725.SZ,600582.SH,600438.SH,600153.SH,002236.SZ,000425.SZ,600720.SH,600295.SH,600584.SH",10235.044776040968,-26.528265579225067
20220610,7397.840235858921,bull,1.0,"600089.SH,600582.SH,000883.SZ,600667.SH,000830.SZ,688396.SH,000776.SZ,601328.SH,600392.SH,600328.SH,600755.SH,601288.SH,601788.SH,601717.SH,601952.SH,600297.SH,600153.SH,002056.SZ,600096.SH,000683.SZ",10235.044776040968,-27.720489770827463
20220630,7007.917665007161,bull,1.0,"600089.SH,601615.SH,603077.SH,600392.SH,600141.SH,603299.SH,600176.SH,000661.SZ,600487.SH,002304.SZ,000002.SZ,002056.SZ,600873.SH,000858.SZ,000963.SZ,600750.SH,300223.SZ,600720.SH,600438.SH,002538.SZ",10235.044776040968,-31.530170914231174
20220720,6652.791595014002,bear,1.0,"601717.SH,002202.SZ,600875.SH,688317.SH,600879.SH,600582.SH,601908.SH,000725.SZ,600171.SH,600216.SH,600089.SH,000960.SZ,600718.SH,601138.SH,600584.SH,600487.SH,002156.SZ,000063.SZ,601615.SH,600580.SH",10235.044776040968,-34.999877962552716
20220809,6444.488422815927,neutral,1.0,"002185.SZ,002156.SZ,600487.SH,600141.SH,600171.SH,000547.SZ,600366.SH,301155.SZ,002202.SZ,600330.SH,002373.SZ,601699.SH,600596.SH,600089.SH,600711.SH,600549.SH,601615.SH,600873.SH,600157.SH,601908.SH",10235.044776040968,-37.03507347714087
20220829,5715.856880275209,neutral,1.0,"002156.SZ,600089.SH,601908.SH,002106.SZ,601668.SH,002745.SZ,002130.SZ,601678.SH,600997.SH,600061.SH,603077.SH,002092.SZ,601288.SH,601222.SH,600487.SH,603393.SH,000589.SZ,600745.SH,000062.SZ,601369.SH",10235.044776040968,-44.15406082389248
20220919,5642.952203381218,bear,1.0,"601668.SH,601186.SH,000885.SZ,000731.SZ,600739.SH,002202.SZ,000651.SZ,601818.SH,600971.SH,600028.SH,601390.SH,601678.SH,600015.SH,600104.SH,601311.SH,000062.SZ,600216.SH,002130.SZ,601288.SH,601857.SH",10235.044776040968,-44.86636524941539
20221014,5341.505928898773,neutral,1.0,"601668.SH,000725.SZ,002156.SZ,600500.SH,603993.SH,002020.SZ,600104.SH,600079.SH,600089.SH,000885.SZ,600216.SH,002185.SZ,600707.SH,002422.SZ,688981.SH,002030.SZ,300463.SZ,601688.SH,300677.SZ,000100.SZ",10235.044776040968,-47.81160174889896
20221103,5528.657650164162,neutral,1.0,"002156.SZ,600584.SH,000951.SZ,601288.SH,002270.SZ,002185.SZ,002498.SZ,600171.SH,688981.SH,000400.SZ,601988.SH,600475.SH,002020.SZ,603005.SH,601555.SH,000932.SZ,300782.SZ,300502.SZ,000012.SZ,600219.SH",10235.044776040968,-45.98306337549107
20221123,5426.744352422872,neutral,1.0,"601186.SH,601668.SH,601818.SH,600089.SH,600061.SH,601390.SH,601800.SH,601615.SH,000617.SZ,601988.SH,003816.SZ,601328.SH,601919.SH,601998.SH,601688.SH,601288.SH,601618.SH,600028.SH,600487.SH,600500.SH",10235.044776040968,-46.97879226550879
